Name ,Description,Quantity,Unit Price (USD),Total Price (USD),Prodcut Link
Cherry Mx Low Profile Switches,Switches,10,0.27,2.7,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-low-profile-mechanical-switch/?gad_source=1&gad_campaignid=20425595467&gbraid=0AAAAAC4dMgMvDe1bWlreBij8KY_2TZGSe&gclid=Cj0KCQiAm9fLBhCQARIsAJoNOcvO0kdFun5d30oFf1EWfSR6AEzda6wT3SRZ95yJExyH8jDuSROTkQAaAl1jEALw_wcB
Blank DSA Keycaps (1u),Keycaps,                    5x2,0.22,2.2,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank-dsa-keycaps-1u/
Chanzon 1N4148 Diodes,Diodes,100,0.027,2.73,https://www.amazon.in/100-Pieces-1N4148-Switching-High-Speed/dp/B079KJ91JZ/ref=sr_1_2?crid=37HIMEUUE6SWR&dib=eyJ2IjoiMSJ9.oDxNahtsKS8hUBT1eDBHCNMREzAXAMcw8lIsleeCbGyIAzIrWEonzo6QR8LHbIabJN17AWOvXObJWpSlh3wjUNfEb9PPLfmIqBDNMYfb6JBnxiUeREi2QUr6FK-2lBJeUJF3JzkwkdzsgJ8H1hSd8cMzlTiT27e7mfpV-a8dP-BHNyVae69prsfQeIOw-Xoft3NLUf-c_r3ngmzbA7netuOIeiv49nGm-ypdrlAQmgr0Hf_OjZNXA_V-JCsVXh_HUQ4tKVpMBj1vUp7xbf_UuaPIJfKrFvVnNnjMCbsM-1Y.3V8bQqoQ0BB7R1osfNwoUr74UbiOpBTw4lKt7D6Jv8w&dib_tag=se&keywords=1N4148+DO-35&qid=1769352761&sprefix=1n4148+do-35%2Caps%2C384&sr=8-2
0.96 inch OLED Display Module,OLED Display,1,1.7,1.7,https://robu.in/product/0-96-inch-yellow-yellow-blue-oled-lcd-led-display-module/
Xiao Rp2040,MCU,1,6.75,6.75,https://robu.in/product/seeed-studio-xiao-rp2040-v1-0/
EC11B5AI  Rotary Encoder,Rotary Encoder,2,0.61,1.22,https://robu.in/product/hongyan-ec11b5ai-semicircle-total-height-14-5mm/
Soldering Iron ,Soldering Iron,1,3.56,3.56,https://robu.in/product/pro-range-adjustable-temperature-soldering-iron-60-w-eu/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWdIk7-ocYM4gaOo2IgMWrXBC&gclid=Cj0KCQiAhOfLBhCCARIsAJPiopOQK95PLQSV4nMdb4MakMrCmOvHzY8cq3qZBZ-tEhyaJPJwBvKJFxoaAoA3EALw_wcB
PCB ,PCB,5,9.82,9.82,https://robu.in/product/online-pcb-manufacturing-service/
,,TOTAL =,,31,
,,,,,
,,,,,
Note: Instead of ordering from JLC I plan on getting my PCBs from Robu.in which is a trusted indian seller as if I order from JLC I would have to approx. 41 USD incl shipping whereas on Robu I only have to pay around 10 USD incl Shipping ,,,,,
Note: I have added 2 encoders as they sometimes send faulty ones so backup plan,,,,,
